code,size,rooms,price,url,image_url,type,neighborhood,street,bedrooms,floor,interior,bathrooms,year_built,description,central_heating,yard
A15321,90 m²,3,650 €,https://www.novelestate.com/estate_view.html?id=A15321,https://novelestate.com/images/estate/27624/64e89360-c6bd-45eb-8a47-c6cd62ccc37e.jpg,rent,Аеродром,,2,5,Наместен,2,,"Се издава наместен стан во Скопје, Аеродром со површина од 90 m2.
 Екстра: Клима, Централно Парно, Лифт.
 Цена: 650 EUR",Yes,
A15424,45 m²,2,350 €,https://www.novelestate.com/estate_view.html?id=A15424,https://novelestate.com/images/estate/27792/4.jpeg,rent,Ново Лисиче,,1,3,Наместен,1,,"Се издава наместен стан во Скопје, Ново Лисиче со површина од 45 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда.
 Цена: 350 EUR",Yes,
A15093,50 m²,2,400 €,https://www.novelestate.com/estate_view.html?id=A15093,https://novelestate.com/images/estate/27232/se-izdava-ekskluzivno-namesten-luksuzen-50m2-stan (1).jpeg,rent,Карпош 4,ул.Никола Парапунов,1,8,Наместен,1,,"Се издава наместен стан во Скопје, Карпош 4 со површина од 50 m2.
 Екстра: Клима, Централно Парно, Лифт.
 Цена: 400 EUR",Yes,
A14567,62 m²,2,500 €,https://www.novelestate.com/estate_view.html?id=A14567,https://novelestate.com/images/estate/26425/se-izdava-moderno-namesten-stan-na-vodno (1).jpeg,rent,Водно,,1,2,Наместен,1,,"Се издава наместен стан во Скопје, Водно со површина од 62 m2.
 Екстра: Сопствено парно, Лифт, Нова Зграда.
 Цена: 500 EUR",,
A13863,50 m²,2,Please contact,https://www.novelestate.com/estate_view.html?id=A13863,https://novelestate.com/images/estate/25137/558f8149-0427-4adf-b7ad-31d25e1e049f.jpg,rent,Дебар Маало,ул.Дане Крапчев,1,3,Наместен,1,2020,"Се издава наместен стан во Скопје, Дебар Маало со површина од 50 m2.
 Екстра: Лифт, Нова Зграда, Гаража.
 Цена: 0 EUR",,
A15427,62 m²,3,350 €,https://www.novelestate.com/estate_view.html?id=A15427,https://novelestate.com/images/estate/27796/1.jpeg,rent,Мичурин,,2,2,Наместен,2,,"Се издава наместен стан во Скопје, Мичурин со површина од 62 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда, Паркинг.
 Цена: 350 EUR",Yes,
A5032,42 m²,2,350 €,https://www.novelestate.com/estate_view.html?id=A5032,https://novelestate.com/images/estate/9163/izdavam-komplet-namesten-stan-vo-czentar (3).jpeg,rent,Центар,,,4,Наместен,1,,"Се издава наместен стан во Скопје, Центар со површина од 42 m2.
 Екстра: Централно Парно, Лифт, Клима.
 Цена: 350 EUR",Yes,
A15420,34 m²,1,330 €,https://www.novelestate.com/estate_view.html?id=A15420,https://novelestate.com/images/estate/27786/7.jpg,rent,Капиштец,,,5,Наместен,1,,"Се издава наместен стан во Скопје, Капиштец со површина од 34 m2.
 Екстра: Клима, Сопствено парно, Лифт, Нова Зграда.
 Цена: 330 EUR",,
A14854,47 m²,2,600 €,https://www.novelestate.com/estate_view.html?id=A14854,https://novelestate.com/images/estate/26884/se-izdava-nov-stan-vo-dhevahir (1).jpeg,rent,Аеродром,Cevahir Sky City,1,11,Наместен,1,,"Се издава наместен стан во Скопје, Аеродром со површина од 47 m2.
 Екстра: Сопствено парно, Лифт, Нова Зграда.
 Цена: 600 EUR",,
A14906,57 m²,2,Please contact,https://www.novelestate.com/estate_view.html?id=A14906,https://novelestate.com/images/estate/26958/5.jpeg,rent,Влае,ул.Ф.Прешерн,1,3,Празен,1,,"Се издава празен стан во Скопје, Влае со површина од 57 m2.
 Екстра: Клима, Кујнски елементи, Паркинг.
 Цена: 0 EUR",,
A15030,30 m²,1,350 €,https://www.novelestate.com/estate_view.html?id=A15030,https://novelestate.com/images/estate/27150/studio-vo-city-garden.jpeg,rent,Карпош 3,City Garden,,4,Наместен,1,,"Се издава наместен стан во Скопје, Карпош 3 со површина од 30 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда, Паркинг.
 Цена: 350 EUR",Yes,
A15199,80 m²,3,700 €,https://www.novelestate.com/estate_view.html?id=A15199,https://novelestate.com/images/estate/27397/10.jpeg,rent,Центар,,2,1,Наместен,2,,"Се издава наместен стан во Скопје, Центар со површина од 80 m2.
 Екстра: Клима, Централно Парно, Лифт, Реновиран, Паркинг.
 Цена: 700 EUR",Yes,
A15469,72 m²,3,1100 €,https://www.novelestate.com/estate_view.html?id=A15469,https://novelestate.com/images/estate/27858/8.jpg,rent,Центар,,2,13,Наместен,2,,"Се издава наместен стан во Скопје, Центар со површина од 72 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда, Гаража.
 Цена: 1100 EUR",Yes,
A15470,82 m²,3,650 €,https://www.novelestate.com/estate_view.html?id=A15470,https://novelestate.com/images/estate/27859/6.jpg,rent,Кисела Вода,,2,7,Наместен,2,,"Се издава наместен стан во Скопје, Кисела Вода со површина од 82 m2.
 Екстра: Клима, Сопствено парно, Лифт, Нова Зграда, Паркинг.
 Цена: 650 EUR",,
A7543,137 m²,4,850 €,https://www.novelestate.com/estate_view.html?id=A7543,https://novelestate.com/images/estate/13739/luxury-apartment-for-rent-vodno-137m2.jpeg,rent,Водно,,3,1,Наместен,2,,"Се издава наместен стан во Скопје, Водно со површина од 137 m2.
 Екстра: Клима, Сопствено парно, Лифт, Нова Зграда, Паркинг, Гаража.
 Цена: 850 EUR",,
A15466,57 m²,3,750 €,https://www.novelestate.com/estate_view.html?id=A15466,https://novelestate.com/images/estate/27855/1.jpg,rent,Центар - Универзална Сала,,2,3,Наместен,1,,"Се издава наместен стан во Скопје, Центар - Универзална Сала со површина од 57 m2.
 Екстра: Клима, Сопствено парно, Лифт, Нова Зграда, Паркинг.
 Цена: 750 EUR",,
A15465,46 m²,2,600 €,https://www.novelestate.com/estate_view.html?id=A15465,https://novelestate.com/images/estate/27854/2.jpg,rent,Центар - Универзална Сала,,1,3,Наместен,1,,"Се издава наместен стан во Скопје, Центар - Универзална Сала со површина од 46 m2.
 Екстра: Клима, Сопствено парно, Лифт, Нова Зграда, Паркинг.
 Цена: 600 EUR",,
A15464,60 m²,3,550 €,https://www.novelestate.com/estate_view.html?id=A15464,https://novelestate.com/images/estate/27853/5.jpg,rent,Капиштец,,2,7,Наместен,1,,"Се издава наместен стан во Скопје, Капиштец со површина од 60 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда.
 Цена: 550 EUR",Yes,
A15463,27 m²,1,300 €,https://www.novelestate.com/estate_view.html?id=A15463,https://novelestate.com/images/estate/27852/5.jpg,rent,Аеродром - Нова Железничка,,,1,Наместен,1,,"Се издава наместен стан во Скопје, Аеродром - Нова Железничка со површина од 27 m2.
 Екстра: Клима, Греење на струја, Лифт.
 Цена: 300 EUR",,
A15386,60 m²,2,325 €,https://www.novelestate.com/estate_view.html?id=A15386,https://novelestate.com/images/estate/27731/slika 2 stan centar.jpg,rent,Капиштец,,1,2,Наместен,1,,"Се издава наместен стан во Скопје, Капиштец со површина од 60 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда, Паркинг.
 Цена: 325 EUR",Yes,
A14372,56 m²,3,300 €,https://www.novelestate.com/estate_view.html?id=A14372,https://novelestate.com/images/estate/26081/viber_image_2023-03-28_14-57-51-534.jpg,rent,Центар - Универзална Сала,,2,2,Наместен,1,,"Се издава наместен стан во Скопје, Центар - Универзална Сала со површина од 56 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда, Гаража.
 Цена: 300 EUR",Yes,
A15436,75 m²,3,560 €,https://www.novelestate.com/estate_view.html?id=A15436,https://novelestate.com/images/estate/27808/1.jpg,rent,Центар,,2,9,Наместен,1,,"Се издава наместен стан во Скопје, Центар со површина од 75 m2.
 Екстра: Клима, Централно Парно, Лифт.
 Цена: 560 EUR",Yes,
A15450,72 m²,3,650 €,https://www.novelestate.com/estate_view.html?id=A15450,https://novelestate.com/images/estate/27829/1.jpeg,rent,Центар,,2,8,Наместен,2,,"Се издава наместен стан во Скопје, Центар со површина од 72 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда.
 Цена: 650 EUR",Yes,
A12633,90 m²,3,450 €,https://www.novelestate.com/estate_view.html?id=A12633,https://novelestate.com/images/estate/23016/SE-IZDAVA-STAN-VO-KAPISTEC-SPROTI-ZEBRA (5).jpeg,rent,Капиштец,,2,8,Наместен,2,,"Се издава наместен стан во Скопје, Капиштец со површина од 90 m2.
 Екстра: Клима, Централно Парно, Лифт, Реновиран.
 Цена: 450 EUR",Yes,
A15461,80 m²,3,850 €,https://www.novelestate.com/estate_view.html?id=A15461,https://novelestate.com/images/estate/27844/1.jpeg,rent,Автокоманда,,2,4,Наместен,2,,"Се издава наместен стан во Скопје, Автокоманда со површина од 80 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда, Гаража.
 Цена: 850 EUR",Yes,
A15460,30 m²,1,325 €,https://www.novelestate.com/estate_view.html?id=A15460,https://novelestate.com/images/estate/27843/3.jpeg,rent,Дебар Маало,,,2,Наместен,1,,"Се издава наместен стан во Скопје, Дебар Маало со површина од 30 m2.
 Екстра: Клима, Греење на струја, Лифт, Нова Зграда.
 Цена: 325 EUR",,
A15459,61 m²,3,550 €,https://www.novelestate.com/estate_view.html?id=A15459,https://novelestate.com/images/estate/27842/1.jpeg,rent,Центар,,2,2,Наместен,1,,"Се издава наместен стан во Скопје, Центар со површина од 61 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда, Паркинг.
 Цена: 550 EUR",Yes,
A15458,70 m²,3,600 €,https://www.novelestate.com/estate_view.html?id=A15458,https://novelestate.com/images/estate/27841/1.jpeg,rent,Козле,,2,2,Наместен,1,,"Се издава наместен стан во Скопје, Козле со површина од 70 m2.
 Екстра: Клима, Сопствено парно, Паркинг.
 Цена: 600 EUR",,
A15457,50 m²,2,350 €,https://www.novelestate.com/estate_view.html?id=A15457,https://novelestate.com/images/estate/27840/1.jpeg,rent,Аеродром,,1,3,Наместен,1,,"Се издава наместен стан во Скопје, Аеродром со површина од 50 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда.
 Цена: 350 EUR",Yes,
A15456,65 m²,3,300 €,https://www.novelestate.com/estate_view.html?id=A15456,https://novelestate.com/images/estate/27838/10.jpg,rent,Кисела Вода,,2,приземје,Наместен,1,,"Се издава наместен стан во Скопје, Кисела Вода со површина од 65 m2.
 Екстра: Клима, Сопствено парно.
 Цена: 300 EUR",,
A14306,120 m²,5,850 €,https://www.novelestate.com/estate_view.html?id=A14306,https://novelestate.com/images/estate/25970/viber_image_2023-02-22_10-51-10-764.jpg,rent,Црниче,,4,3,Празен,2,,"Се издава празен стан во Скопје, Црниче со површина од 120 m2.
 Екстра: Клима, Нова Зграда, Кујнски елементи, Кујнски апарати, Паркинг.
 Цена: 850 EUR",,
A15455,70 m²,3,450 €,https://www.novelestate.com/estate_view.html?id=A15455,https://novelestate.com/images/estate/27837/5.jpg,rent,Центар - Универзална Сала,,2,5,Наместен,1,,"Се издава наместен стан во Скопје, Центар - Универзална Сала со површина од 70 m2.
 Екстра: Клима, Сопствено парно, Лифт, Нова Зграда.
 Цена: 450 EUR",,
A14712,70 m²,2,450 €,https://www.novelestate.com/estate_view.html?id=A14712,https://novelestate.com/images/estate/26649/ccfe9d5c-cb36-4687-ba05-f8243854ffea.jpg,rent,Водно,ул.Славејко Арсов,1,приземје,Наместен,1,,"Се издава наместен стан во Скопје, Водно со површина од 70 m2.
 Екстра: Клима, Греење на струја, Паркинг.
 Цена: 450 EUR",,да
A15438,54 m²,2,350 €,https://www.novelestate.com/estate_view.html?id=A15438,https://novelestate.com/images/estate/27810/3.jpg,rent,Аеродром,,1,4,Наместен,1,,"Се издава наместен стан во Скопје, Аеродром со површина од 54 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда, Паркинг.
 Цена: 350 EUR",Yes,
A14795,163 m²,4,1200 €,https://www.novelestate.com/estate_view.html?id=A14795,https://novelestate.com/images/estate/26789/8.jpg,rent,Водно,,3,3,Наместен,3,2010,"Се издава наместен стан во Скопје, Водно со површина од 163 m2.
 Екстра: Клима, Сопствено парно, Лифт, Нова Зграда, Паркинг.
 Цена: 1200 EUR",,
A13340,57 m²,3,400 €,https://www.novelestate.com/estate_view.html?id=A13340,https://novelestate.com/images/estate/24170/1.jpeg,rent,Мичурин,,2,4,Наместен,1,,"Се издава наместен стан во Скопје, Мичурин со површина од 57 m2.
 Екстра: Клима, Сопствено парно, Лифт, Нова Зграда.
 Цена: 400 EUR",,
A15282,66 m²,3,500 €,https://www.novelestate.com/estate_view.html?id=A15282,https://novelestate.com/images/estate/27567/1.jpeg,rent,Центар,,2,6/8,Наместен,1,,"Се издава наместен стан во Скопје, Центар со површина од 66 m2.
 Екстра: Клима, Централно Парно, Лифт.
 Цена: 500 EUR",Yes,
A8514,70 m²,3,600 €,https://www.novelestate.com/estate_view.html?id=A8514,https://novelestate.com/images/estate/15716/1.jpeg,rent,Аеродром - Нова Железничка,,2,1,Наместен,1,,"Се издава наместен стан во Скопје, Аеродром - Нова Железничка со површина од 70 m2.
 Екстра: Клима, Централно Парно, Лифт, Реновиран.
 Цена: 600 EUR",Yes,
A15327,60 m²,3,400 €,https://www.novelestate.com/estate_view.html?id=A15327,https://novelestate.com/images/estate/27631/20ab6df4-d229-4bb0-9b64-bb40ddd76747.jpg,rent,Карпош 1,,2,приземје,Наместен,1,,"Се издава наместен стан во Скопје, Карпош 1 со површина од 60 m2.
 Екстра: Клима, Сопствено парно.
 Цена: 400 EUR",,
